0.279373, -0.478024, -0.456582, 0.999992, 1700
2.84868, 0.43637, -22.8077, 0.999899, 300
-4.15902, -8.17213, -32.3809, 0.999962, 400
-5.85649, -2.69926, -39.8371, 0.999878, 200
-5.92653, -3.69098, -42.3377, 0.999959, 300
-7.22138, -3.4675, -45.4793, 0.999986, 300
-17.9377, 7.37926, -61.1641, 0.999957, 300
-18.2201, -7.70854, -76.4002, 0.999932, 200
-14.084, -2.31585, -84.4895, 0.999953, 200
-17.4909, -5.23051, -85.4602, 0.999981, 300
-19.1403, -5.94103, -109.332, 0.999914, 300
-21.3316, -11.8842, -110.777, 0.999982, 300
-22.2879, -12.2788, -108.805, 0.999955, 300
-19.7822, -10.7991, -125.607, 0.999961, 300
-24.0972, -14.6949, -123.33, 0.999991, 200
-34.7008, 2.69221, -164.495, 0.999851, 200
-34.3235, 7.05255, -166.667, 0.999982, 300
-34.0698, 7.06658, -170.586, 0.999949, 200
-32.8214, 1.0119, -178.722, 0.999967, 200
-58.9157, 23.5615, -172.875, 0.999786, 300
-71.4678, 27.2162, -223.557, 0.999785, 200
-72.8058, 24.6757, -231.1, 0.999859, 500
-72.8233, 11.1316, -229.477, 0.999864, 300
-35.3476, 29.3748, -271.653, 0.999555, 300
-25.2808, 29.2514, -272.071, 0.999385, 300
-94.504, 98.4915, -366.075, 0.999399, 200
-6.6449, 45.4785, -484.062, 0.998584, 300
-154.165, 58.0697, -555.998, 0.998412, 200
-290.04, 130.051, -904.679, 0.996549, 300
-515.123, 233.568, -998.022, 0.996418, 200
-728.55, -55.1412, -948.784, 0.99794, 200
-639.182, 19.5851, -1326.41, 0.997235, 200
-1078.58, -50.9339, -1665.3, 0.993421, 500
-983.78, 228.692, -1748.55, 0.995403, 300
-1215.63, 288.768, -1396.02, 0.998973, 300
-1243.53, 404.362, -1427.64, 0.996904, 300
-1206.96, 502.187, -1544.15, 0.996324, 200
-1425.98, 480.539, -1773.04, 0.998907, 200
-1124.9, 549.673, -1952.61, 0.995582, 200
-1079.04, 584.408, -2085.64, 0.995844, 200
-1168.02, 579.944, -1808.67, 0.995104, 300
-1217.65, 624.667, -1548.17, 0.995691, 200
-1248.12, 555.328, -1399.55, 0.997545, 200
-1310.4, 482.031, -1424.85, 0.998134, 300
-1256.69, 605.59, -1415.53, 0.996315, 300
-1008.32, 786.517, -1363.29, 0.996894, 300
-768.871, 967.968, -1333.05, 0.99653, 300
-619.788, 1075.74, -1315.92, 0.99709, 300
-577.328, 1051.63, -1353.83, 0.998306, 800
-582.935, 1021.96, -1406.63, 0.999169, 300
-550.447, 1024.02, -1421.4, 0.999231, 200
-398.852, 1021.28, -1397.57, 0.998224, 300
-321.065, 1030.36, -1413.82, 0.997791, 200
-363.54, 1040.2, -1401.77, 0.998139, 200
-450.003, 1015.86, -1297.64, 0.998476, 100
-453.54, 967.498, -1276.35, 0.999196, 100
-455.685, 942.48, -1271.07, 0.99909, 200
-459.82, 923.474, -1261.22, 0.999092, 300
-492.451, 893.175, -1325.48, 0.999429, 300
-553.155, 896.749, -1383.54, 0.998935, 300
-549.222, 941.177, -1357.21, 0.99887, 300
