-340.105, 1097.11, 503.837, 0.99614
-2779.66, 4555.24, -9152.79, 0.99614
-1131.03, 2427.2, -4000.39, 0.997634
-510.111, 1421.27, -2006.84, 0.997808
-540.587, 1302.8, -1893.48, 0.999134
-318.261, 897.696, -1308.93, 0.998599
-59.8611, 423.366, -687.689, 0.99828
-29.5271, 294.395, -582.985, 0.998421
145.987, -8.16563, -255.334, 0.998181
-138.62, 39.2036, -456.621, 0.998143
-63.3942, -113.28, -357.602, 0.998792
76.0549, -157.326, -288.48, 0.999159
235.375, -242.165, -267.72, 0.999276
379.813, -349.981, -297.326, 0.999271
413.63, -394.561, -326.995, 0.999215
399.501, -349.341, -297.921, 0.999448
355.278, -315.737, -306.123, 0.999557
327.369, -282.352, -307.092, 0.99967
320.602, -285.069, -311.546, 0.999509
274.973, -286.295, -301.163, 0.999385
290.48, -284.249, -306.043, 0.999453
268.36, -297.928, -308.618, 0.99937
217.956, -254.953, -270.319, 0.999414
227.249, -256.084, -273.263, 0.999506
222.7, -249.992, -268.148, 0.999721
224.814, -263.94, -274.943, 0.999778
226.045, -264.195, -277.255, 0.999723
216.506, -279.019, -275.947, 0.999808
213.934, -285.379, -274.203, 0.999768
207.906, -300.225, -281.176, 0.999699
200.755, -326.714, -258.354, 0.999607
199.524, -342.989, -248.585, 0.999542
221.436, -371.95, -215.229, 0.999574
228.218, -368.758, -213.986, 0.999726
248.799, -382.799, -201.55, 0.999748
244.528, -383.224, -196.801, 0.999797
247.4, -382.794, -204.985, 0.999813
254.243, -392.9, -205.045, 0.999846
247.375, -389.397, -209.882, 0.999795
249.729, -399.88, -212.616, 0.999828
225.733, -394.97, -214.641, 0.999725
185.672, -382.344, -202.896, 0.999575
165.68, -356.729, -187.717, 0.999651
164.463, -349.829, -185.392, 0.999732
157.721, -324.885, -181.204, 0.999725
164.554, -325.931, -185.866, 0.999801
168.943, -325.529, -197.811, 0.999855
169.443, -319.092, -207.979, 0.999855
164.481, -313.486, -225.929, 0.999667
145.115, -306.059, -249.094, 0.999476
149.884, -328.771, -218.755, 0.99965
145.564, -341.764, -188.132, 0.999791
135.536, -343.541, -192.091, 0.999782
131.795, -343.997, -191.483, 0.999701
144.856, -349.62, -188.064, 0.999836
155.29, -356.314, -183.399, 0.999848
156.05, -356.512, -185.243, 0.999875
156.596, -353.305, -179.403, 0.999872
161.182, -373.689, -187.783, 0.99981
147.77, -396.244, -193.044, 0.999694
120.408, -401.149, -178.198, 0.999718
110.776, -389.169, -168.416, 0.999817
116.561, -382.675, -173.733, 0.999858
121.096, -377.014, -180.166, 0.999844
122.641, -373.935, -183.611, 0.9999
123.706, -369.671, -179.068, 0.999888
125.856, -364.337, -187.029, 0.999906
128.256, -353.03, -196.752, 0.999837
124.657, -343.989, -206.295, 0.99976
108.606, -340.933, -216.893, 0.999741
98.2776, -347.953, -212.404, 0.999724
103.787, -358.737, -199.186, 0.999787
114.146, -372.274, -179.537, 0.999828
111.266, -372.934, -179.114, 0.999834
125.204, -376.824, -178.29, 0.999831
129.592, -382.083, -175.343, 0.999869
135.31, -387.009, -177.759, 0.999903
134.898, -392.15, -182.683, 0.999917
134.862, -404.163, -188.108, 0.999833
117.312, -398.518, -184.31, 0.999906
112.937, -413.118, -181.372, 0.999787
108.128, -400.749, -172.936, 0.999864
110.283, -395.612, -175.668, 0.99994
109.672, -393.033, -174.623, 0.999933
109.705, -388.67, -176.809, 0.999942
105.662, -390.342, -178.304, 0.999941
96.171, -379.731, -187.23, 0.99983
91.4273, -369.21, -194.175, 0.999727
100.837, -371.208, -188.956, 0.999773
109.118, -379.166, -177.525, 0.999828
100.447, -382.817, -178.097, 0.999791
101.654, -379.362, -180.234, 0.999896
105.212, -381.483, -174.991, 0.9999
102.691, -381.619, -168.737, 0.999913
103.628, -380.806, -163.499, 0.999909
106.955, -383.061, -162.918, 0.999917
109.823, -386.232, -163.603, 0.99991
113.516, -390.851, -165.573, 0.999796
107.854, -388.912, -163.146, 0.999916
106.527, -391.781, -161.441, 0.999895
101.349, -385.857, -157.513, 0.999894
92.8431, -382.971, -147.656, 0.999861
97.3076, -380.978, -151.774, 0.999878
98.2596, -371.986, -154.7, 0.999898
96.8943, -371.712, -152.297, 0.999953
98.513, -367.362, -142.831, 0.999955
99.6142, -365.463, -142.478, 0.99995
101.677, -364.794, -145.268, 0.999953
100.411, -365.756, -145.816, 0.999963
99.4883, -366.247, -146.179, 0.999968
98.8751, -366.89, -146.772, 0.999968
99.6144, -365.872, -145.332, 0.999971
98.9128, -366.731, -147.43, 0.999975
100.675, -368.485, -145.267, 0.999982
98.4631, -368.039, -146.565, 0.999937
94.4765, -367.727, -148.35, 0.999891
96.0509, -372.264, -147.15, 0.999861
95.0919, -374.206, -146.761, 0.999874
86.9568, -372.994, -146.989, 0.999826
88.3634, -368.94, -148.41, 0.999896
91.0322, -365.199, -151.827, 0.999951
93.5463, -369.139, -157.201, 0.999953
87.0277, -378.189, -166.992, 0.999814
72.9135, -365.554, -161.528, 0.999837
66.6083, -353.804, -155.83, 0.99982
67.3234, -348.469, -153.715, 0.999857
78.1631, -347.656, -157.01, 0.999871
83.2695, -338.763, -167.251, 0.999814
86.9457, -348.407, -161.553, 0.99993
86.5257, -348.584, -157.506, 0.999974
88.4849, -343.931, -157.614, 0.999938
92.7209, -346.245, -153.885, 0.999875
88.2668, -340.77, -160.144, 0.999888
87.8927, -342.905, -158.546, 0.999853
81.8868, -345.447, -158.729, 0.999838
81.5408, -348.301, -157.442, 0.999897
